epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2260.66,1.08209,0.56937,1.02172,0.67543,0.64159,0.68579,0.32903,1.66759,1.58075,1.19295,0.00239766,0.00239766,0.00239766
70,2716.6,1.07295,0.56743,1.01936,0.67233,0.63864,0.68302,0.32635,1.66873,1.58339,1.19967,0.00226769,0.00226769,0.00226769
71,3188.98,1.0674,0.55898,1.01507,0.69223,0.63038,0.68843,0.32802,1.67072,1.55989,1.19784,0.00214046,0.00214046,0.00214046
72,3662.03,1.06818,0.56262,1.016,0.69886,0.62094,0.68624,0.32675,1.67269,1.58166,1.19422,0.00201611,0.00201611,0.00201611
73,4136.35,1.06132,0.55467,1.0145,0.68602,0.63419,0.68928,0.32943,1.66903,1.56689,1.1948,0.00189475,0.00189475,0.00189475
74,4607.01,1.04532,0.5483,1.00812,0.69552,0.63805,0.69192,0.32957,1.67605,1.56752,1.20087,0.00177651,0.00177651,0.00177651
75,5080.7,1.05032,0.55417,1.00635,0.68723,0.6472,0.6937,0.32946,1.6744,1.56401,1.19813,0.00166149,0.00166149,0.00166149
76,5542.6,1.03891,0.54827,1.00591,0.68144,0.64307,0.68992,0.32869,1.6763,1.5772,1.19966,0.00154982,0.00154982,0.00154982
77,6013.36,1.04386,0.5464,1.00581,0.68396,0.63839,0.68459,0.32548,1.6809,1.59446,1.2042,0.00144161,0.00144161,0.00144161
78,6486.39,1.04419,0.54668,1.00599,0.68973,0.6446,0.6857,0.32831,1.68189,1.57885,1.20023,0.00133695,0.00133695,0.00133695
79,6944.42,1.03692,0.53812,1.00148,0.68557,0.64277,0.68431,0.3272,1.6802,1.58638,1.1989,0.00123596,0.00123596,0.00123596
80,7383.95,1.03433,0.5345,1.00025,0.68676,0.63599,0.6826,0.32509,1.67942,1.61123,1.19818,0.00113873,0.00113873,0.00113873
81,7824.97,1.03049,0.53217,0.99999,0.67876,0.64277,0.68291,0.32587,1.67813,1.59762,1.19609,0.00104537,0.00104537,0.00104537
82,8318.94,1.01888,0.52935,0.99845,0.67817,0.64248,0.68103,0.32508,1.6783,1.60274,1.19875,0.000955951,0.000955951,0.000955951
83,8784.52,1.0222,0.53195,0.99712,0.68451,0.63569,0.68045,0.32497,1.67952,1.60358,1.20054,0.000870577,0.000870577,0.000870577
84,9219.62,1.02407,0.52862,0.99515,0.67994,0.6367,0.68094,0.32674,1.6753,1.61858,1.19673,0.000789327,0.000789327,0.000789327
85,9656.49,1.01674,0.52717,0.99296,0.68768,0.63687,0.68254,0.3265,1.67629,1.62326,1.19527,0.000712282,0.000712282,0.000712282
86,10100.3,1.01168,0.52282,0.9918,0.69186,0.63274,0.68349,0.327,1.67744,1.62747,1.19539,0.000639518,0.000639518,0.000639518
87,10563.9,1.01523,0.52159,0.99134,0.68756,0.63805,0.6839,0.32677,1.67566,1.62863,1.19528,0.000571106,0.000571106,0.000571106
88,11045.3,1.00718,0.52228,0.99109,0.68639,0.64048,0.68448,0.32714,1.67837,1.61892,1.1961,0.000507115,0.000507115,0.000507115
89,11528.9,1.0104,0.52097,0.99048,0.68679,0.63717,0.68511,0.32726,1.68081,1.61328,1.19828,0.000447606,0.000447606,0.000447606
90,11969.9,0.99847,0.51629,0.98597,0.68476,0.63628,0.68361,0.3272,1.68023,1.617,1.19942,0.00039264,0.00039264,0.00039264
91,12419.3,0.96294,0.4759,0.97495,0.68643,0.63658,0.68521,0.32774,1.67982,1.62197,1.20074,0.00034227,0.00034227,0.00034227
92,12851,0.96275,0.47643,0.97969,0.68495,0.63687,0.68618,0.3285,1.67976,1.62284,1.20237,0.000296546,0.000296546,0.000296546
93,13309,0.96012,0.47234,0.97687,0.68449,0.63687,0.68585,0.3283,1.67848,1.62588,1.20254,0.000255513,0.000255513,0.000255513
94,13788.4,0.95486,0.47342,0.97688,0.68625,0.63304,0.6841,0.32743,1.67788,1.6298,1.20312,0.000219212,0.000219212,0.000219212
95,14275.4,0.95661,0.48302,0.9729,0.68749,0.63333,0.68368,0.32748,1.67821,1.62905,1.20403,0.000187678,0.000187678,0.000187678
96,14756.1,0.96002,0.47354,0.97886,0.6864,0.63156,0.68273,0.32725,1.67951,1.6326,1.20617,0.000160943,0.000160943,0.000160943
97,15241.7,0.9494,0.47056,0.97357,0.68677,0.63186,0.68224,0.3269,1.67942,1.63694,1.20659,0.000139032,0.000139032,0.000139032
98,15738.6,0.95087,0.46943,0.97774,0.68514,0.63274,0.68284,0.32719,1.6804,1.63793,1.20748,0.000121968,0.000121968,0.000121968
99,16224.9,0.95405,0.46839,0.97665,0.68541,0.63333,0.68337,0.32745,1.68079,1.63651,1.20901,0.000109768,0.000109768,0.000109768
100,16694.2,0.95194,0.46544,0.97722,0.68583,0.63156,0.68274,0.32747,1.68065,1.63892,1.20899,0.000102443,0.000102443,0.000102443
