epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,12510.5,1.02257,0.54309,0.96814,0.64595,0.53805,0.57668,0.26018,1.85588,2.44126,1.25051,0.00039264,0.00039264,0.00039264
91,12965.4,0.9907,0.50697,0.95938,0.65025,0.53856,0.57723,0.25982,1.86009,2.44375,1.25406,0.00034227,0.00034227,0.00034227
92,13445.7,0.98452,0.49922,0.95708,0.6538,0.53703,0.57832,0.26073,1.86245,2.44724,1.25662,0.000296546,0.000296546,0.000296546
93,13919.2,0.98843,0.50504,0.95624,0.65961,0.5339,0.57882,0.26088,1.86442,2.43885,1.25904,0.000255513,0.000255513,0.000255513
94,14404.4,0.98129,0.51273,0.95464,0.66011,0.53451,0.5799,0.26198,1.86443,2.4324,1.25951,0.000219212,0.000219212,0.000219212
95,14882.8,0.97714,0.49423,0.95357,0.66489,0.53363,0.57988,0.26177,1.86526,2.43248,1.26019,0.000187678,0.000187678,0.000187678
96,15373.5,0.97573,0.49703,0.95155,0.66884,0.53097,0.58038,0.26176,1.867,2.43579,1.26173,0.000160943,0.000160943,0.000160943
97,15867.3,0.97451,0.49648,0.95505,0.66931,0.53068,0.5805,0.26153,1.86833,2.44302,1.26298,0.000139032,0.000139032,0.000139032
98,16354.5,0.97728,0.49761,0.95569,0.66966,0.52863,0.57871,0.26079,1.86919,2.44753,1.26381,0.000121968,0.000121968,0.000121968
99,16740.2,0.96897,0.49301,0.95483,0.6689,0.5286,0.57937,0.26099,1.86924,2.45195,1.26419,0.000109768,0.000109768,0.000109768
100,16948.4,0.96905,0.49532,0.95064,0.6676,0.53127,0.57882,0.26149,1.86926,2.45014,1.26437,0.000102443,0.000102443,0.000102443
